Unnamed: 0,year,country_code,valuenormal,valueoffensive,valuehate,valueNegative,valueNeutral,valuePositive,country,total_unemployment,real_gdp_r,immigration_flow,asylum_applications,total_population,EU_migrant_stock,NonEU_migrant_stock,share_offensive,share_negative,share_positive,asyl_per100k,immigrationflow_per100k,total_migrant_stock,migrant_stock_per100k,nonEU_stock_per100k,iso3n,share_normal,share_hate,share_neutral,lt_unemployment,income,youth_unemployment
50,2017,HU,323,1,21,2,201,142,Hungary,4.0,4.300000190734863,68070.0,3120.0,9797561.0,79325.0,71414.0,0.0028985507246376,0.0057971014492753,0.4115942028985507,31.84466,694.76477,150739.0,1538.536,728.89569,348,0.936231884057971,0.0608695652173913,0.5826086956521739,1.7,6700.0,10.5
51,2017,IT,2371,14,78,46,1623,794,Italy,11.2,1.700000047683716,343440.0,126560.0,60589445.0,1537224.0,3509089.0,0.0056841250507511,0.0186764108810393,0.3223710921640276,208.88127,566.83142,5046313.0,8328.7002,5791.5845,380,0.9626471782379212,0.0316686967113276,0.658952496954933,6.6,17500.0,34.7
52,2017,NL,1197,5,21,17,831,375,Netherlands,4.9000001,2.900000095367432,189646.0,16090.0,17081507.0,489119.0,413401.0,0.0040883074407195,0.0139002452984464,0.3066230580539656,94.195435,1110.2416,902520.0,5283.6089,2420.167,528,0.9787408013082584,0.017170891251022,0.6794766966475879,1.9,19400.0,8.9
53,2017,PL,630,12,20,85,464,113,Poland,4.9000001,4.800000190734863,209353.0,3005.0,37972964.0,29447.0,180334.0,0.0181268882175226,0.1283987915407855,0.1706948640483383,7.9135251,551.32123,209781.0,552.4483,474.90103,616,0.9516616314199396,0.0302114803625377,0.7009063444108762,1.5,7100.0,14.8
54,2017,SE,314,3,7,9,212,103,Sweden,6.6999998,2.599999904632568,144489.0,22225.0,9995153.0,310518.0,505332.0,0.0092592592592592,0.0277777777777777,0.3179012345679012,222.35777,1445.5907,815850.0,8162.4565,5055.7705,752,0.9691358024691358,0.0216049382716049,0.654320987654321,1.3,22400.0,17.9
55,2018,AT,492,4,4,3,305,192,Austria,5.1999998,2.5,105633.0,11610.0,8822267.0,693855.0,687452.0,0.008,0.006,0.384,131.59883,1197.3453,1381307.0,15657.053,7792.2373,40,0.984,0.008,0.61,1.4,23400.0,10.0
56,2018,CH,776,5,8,7,509,273,Switzerland,4.6999998,2.900000095367432,144857.0,13535.0,8484130.0,1397013.0,727066.0,0.0063371356147021,0.008871989860583,0.3460076045627376,159.53316,1707.3878,2124079.0,25035.908,8569.7178,756,0.9835234474017744,0.0101394169835234,0.6451204055766794,1.8,,7.9
57,2018,DE,1380,13,42,26,908,501,Germany,3.4000001,1.100000023841858,893886.0,161930.0,82792351.0,4205194.0,5462268.0,0.0090592334494773,0.0181184668989547,0.3491289198606271,195.58569,1079.6722,9667462.0,11676.758,6597.5513,276,0.9616724738675958,0.0292682926829268,0.6327526132404181,1.4,22400.0,6.2
58,2018,ES,1790,5,15,18,1043,749,Spain,15.3,2.299999952316284,643684.0,52745.0,46658447.0,1930905.0,2630781.0,0.0027624309392265,0.0099447513812154,0.4138121546961326,113.04491,1379.5658,4561686.0,9776.7637,5638.3809,724,0.988950276243094,0.0082872928176795,0.5762430939226519,6.4,15000.0,34.3
59,2018,FR,1944,13,25,16,1120,846,France,9.0,1.899999976158142,387158.0,126580.0,67026224.0,1569691.0,3381026.0,0.0065590312815338,0.0080726538849646,0.4268415741675075,188.85146,577.6217,4950717.0,7386.2388,5044.333,250,0.9808274470232088,0.0126135216952573,0.5650857719475277,3.9,20000.0,22.0
60,2018,GB,4740,47,271,321,3316,1421,United Kingdom,4.0,1.299999952316284,603953.0,38485.0,66273576.0,3860237.0,2425737.0,0.009292210359826,0.0634638196915777,0.2809410834321866,58.069901,911.30286,6285974.0,9484.8877,3660.1873,826,0.937129300118624,0.05357848952155,0.6555950968762356,1.1,32117.0,11.6
