year,country_code,valuenormal,valueoffensive,valuehate,valueNegative,valueNeutral,valuePositive,country,total_unemployment,real_gdp_r,immigration_flow,asylum_applications,total_population,EU_migrant_stock,NonEU_migrant_stock,share_offensive,share_negative,share_positive,asyl_per100k,immigrationflow_per100k,total_migrant_stock,migrant_stock_per100k,nonEU_stock_per100k,iso3n
2018,CH,776,5,8,7,509,273,Switzerland,4.6999998,2.900000095367432,144857.0,13535.0,8484130.0,1397013.0,727066.0,0.10569777,0.58271402,0.13845307,159.53316,1707.3878,2124079.0,25035.908,8569.7178,756
2018,DE,1380,13,42,26,908,501,Germany,3.4000001,1.100000023841858,893886.0,161930.0,82792351.0,4205194.0,5462268.0,0.26451582,0.53631365,0.087673612,195.58569,1079.6722,9667462.0,11676.758,6597.5513,276
2018,ES,1790,5,15,18,1043,749,Spain,15.3,2.299999952316284,643684.0,52745.0,46658447.0,1930905.0,2630781.0,0.19198926,0.56025958,0.15515776,113.04491,1379.5658,4561686.0,9776.7637,5638.3809,724
2018,FR,1944,13,25,16,1120,846,France,9.0,1.899999976158142,387158.0,126580.0,67026224.0,1569691.0,3381026.0,0.070276223,0.63736522,0.21429133,188.85146,577.6217,4950717.0,7386.2388,5044.333,250
2018,GB,4740,47,271,321,3316,1421,United Kingdom,4.0,1.299999952316284,603953.0,38485.0,66273576.0,3860237.0,2425737.0,0.075038083,0.49768883,0.19547923,58.069901,911.30286,6285974.0,9484.8877,3660.1873,826
2018,HU,292,3,16,7,189,115,Hungary,3.5999999,5.400000095367432,82937.0,635.0,9778371.0,77998.0,83418.0,0.13092269,0.51371568,0.14713217,6.4939241,848.16785,161416.0,1650.7454,853.08685,348
2018,IT,2446,16,52,32,1568,914,Italy,10.6,0.8999999761581421,332324.0,53440.0,60483973.0,1562147.0,3581561.0,0.34021118,0.70204651,0.123652,88.353981,549.44141,5143708.0,8504.25,5921.5044,380
2018,NL,1085,9,27,18,698,405,Netherlands,3.8,2.400000095367432,194306.0,20465.0,17181084.0,525626.0,451197.0,0.20788756,0.39228025,0.20809734,119.11356,1130.9298,976823.0,5685.4561,2626.1265,528
2018,PL,775,16,38,106,588,135,Poland,3.9000001,5.400000095367432,214083.0,2405.0,37976687.0,30098.0,208574.0,0.53756213,0.36889797,0.068693362,6.3328323,563.72217,238672.0,628.46979,549.21588,616
2018,SE,376,1,4,8,272,101,Sweden,6.4000001,2.0,132602.0,18110.0,10120242.0,318263.0,543921.0,0.41623095,0.54012275,0.20459196,178.94829,1310.2651,862184.0,8519.4014,5374.585,752
2019,AT,1298,10,41,133,734,482,Austria,4.8000002,1.5,109167.0,11010.0,8858775.0,730209.0,692473.0,0.21508545,0.53447258,0.10076606,124.28355,1232.3036,1422682.0,16059.579,7816.8032,40
2019,CH,3745,26,79,348,2001,1501,Switzerland,4.4000001,1.200000047683716,145129.0,12600.0,8544527.0,1411744.0,734172.0,0.11316276,0.60696387,0.13215511,147.46281,1698.5024,2145916.0,25114.51,8592.3066,756
2019,DE,5600,86,289,781,3474,1720,Germany,3.0999999,1.100000023841858,886341.0,142510.0,83019213.0,4383694.0,5694104.0,0.26013112,0.55738997,0.086499721,171.65906,1067.6335,10077798.0,12139.115,6858.7788,276
2019,ES,4321,62,255,611,2585,1442,Spain,14.1,2.099999904632568,750480.0,115190.0,46937060.0,1966631.0,2871969.0,0.19197467,0.55460846,0.15757555,245.41376,1598.9071,4838600.0,10308.698,6118.7661,724
2019,FR,5724,60,275,699,3378,1982,France,8.3999996,1.799999952316284,385591.0,138290.0,67177636.0,1599411.0,3395945.0,0.07662981,0.63877237,0.20758674,205.85719,573.98718,4995356.0,7436.04,5055.1719,250
2019,GB,48579,1296,6832,14741,30357,11609,United Kingdom,3.8,1.399999976158142,680906.0,44315.0,66647112.0,3681859.0,2490089.0,0.07299877,0.47800925,0.20782107,66.492004,1021.6587,6171948.0,9260.6387,3736.2295,826
2019,HU,665,6,41,68,385,259,Hungary,3.3,4.599999904632568,88581.0,470.0,9772756.0,74266.0,106145.0,0.1342711,0.4961637,0.17391305,4.809288,906.40759,180411.0,1846.0607,1086.1317,348
2019,IT,5170,51,233,465,3191,1798,Italy,10.0,0.4000000059604645,332778.0,35005.0,59816673.0,1500704.0,3494871.0,0.3332707,0.69714808,0.12390914,58.520473,556.32983,4995575.0,8351.4756,5842.6367,380
2019,NL,3404,44,175,524,2066,1033,Netherlands,3.4000001,2.0,215756.0,22540.0,17282163.0,567724.0,487514.0,0.20295885,0.41863152,0.20272769,130.42349,1248.4316,1055238.0,6105.937,2820.9084,528
2019,PL,1095,19,49,134,761,268,Poland,3.3,4.699999809265137,226649.0,2765.0,37972812.0,31644.0,257507.0,0.48404023,0.34630519,0.073895931,7.2815256,596.87177,289151.0,761.46851,678.13519,616
2019,SE,1358,38,111,291,859,357,Sweden,6.8000002,2.0,115805.0,23150.0,10230185.0,321964.0,578398.0,0.40257409,0.52648908,0.19964083,226.29112,1131.9932,900362.0,8801.0332,5653.8369,752
2020,AT,940,7,28,97,573,305,Austria,6.0,-6.699999809265137,,13415.0,,768597.0,700601.0,0.23213071,0.55616063,0.091899253,,,1469198.0,,,40
2020,CH,1836,10,43,252,987,650,Switzerland,4.8000002,-2.400000095367432,,9765.0,,1430197.0,742749.0,0.18431221,0.57148379,0.125966,,,2172946.0,,,756
2020,DE,3747,58,252,817,2334,906,Germany,3.8,-4.599999904632568,,102580.0,,4454418.0,5932244.0,0.24579774,0.53302103,0.095986038,,,10386662.0,,,276
2020,ES,2443,46,195,491,1517,676,Spain,15.5,-10.80000019073486,,86385.0,,2019487.0,3205467.0,0.20501079,0.56284291,0.15100664,,,5224954.0,,,724
2020,FR,3867,62,230,607,2465,1087,France,8.0,-7.900000095367432,,81735.0,,1590796.0,3546602.0,0.067650832,0.63863927,0.22002567,,,5137398.0,,,250
2020,GB,55164,1769,8698,19074,35746,10811,United Kingdom,4.9000001,-0.9700000286102296,,,,,,0.064941801,0.48670688,0.199478,,,,,,826
2020,HU,339,4,25,45,212,111,Hungary,4.0999999,-4.699999809265137,,90.0,,81060.0,118534.0,0.13199106,0.49440715,0.12751678,,,199594.0,,,348
2020,IT,2908,145,324,950,1677,750,Italy,9.1999998,-8.899999618530273,,21220.0,,1504521.0,3534578.0,0.35240427,0.71041107,0.11609528,,,5039099.0,,,380
2020,NL,2333,23,132,456,1432,600,Netherlands,3.8,-3.799999952316284,,13720.0,,616632.0,529730.0,0.21231593,0.37804553,0.21927711,,,1146362.0,,,528
2020,PL,746,15,34,119,520,156,Poland,3.2,-2.5,,1510.0,,36598.0,321042.0,0.50190943,0.32896891,0.079650849,,,357640.0,,,616
2020,SE,1116,39,91,305,728,213,Sweden,8.3000002,-2.900000095367432,,13630.0,,322324.0,587951.0,0.4979564,0.4757039,0.26634878,,,910275.0,,,752
