year,country_code,lt_unemployment
2016,IT,6.8
2016,CY,5.9
2016,LV,4.1
2016,LT,3.1
2016,LU,2.2
2016,HU,2.4
2016,MT,2.4
2016,NL,2.5
2016,AT,2.0
2016,PL,2.2
2016,PT,6.4
2016,RO,3.0
2016,SI,4.3
2016,SK,5.9
2016,FI,2.3
2016,SE,1.3
2016,NO,1.2
2016,CH,1.8
2016,GB,1.3
2016,ME,13.6
2016,MK,19.3
2016,RS,9.4
2016,TR,2.3
2017,BE,3.5
2017,BG,3.4
2017,CZ,1.0
2017,DK,1.2
2017,DE,1.6
2017,EE,2.0
2017,IE,3.1
2017,EL,15.7
2017,ES,7.7
2017,FR,4.3
2017,HR,4.6
2017,IT,6.6
2017,CY,4.6
2017,LV,3.3
2017,LT,2.7
2017,LU,2.1
2017,HU,1.7
2017,MT,2.1
2017,NL,1.9
2017,AT,1.9
2017,PL,1.5
2017,PT,4.6
2017,RO,2.1
2017,SI,3.2
2017,SK,5.1
2017,FI,2.1
2017,SE,1.3
2017,IS,0.3
2017,NO,1.2
2017,CH,1.7
2017,GB,1.1
2017,ME,12.7
2017,MK,17.5
2017,RS,7.4
2017,TR,2.4
2018,BE,2.9
2018,BG,3.1
2018,CZ,0.7
2018,DK,1.0
2018,DE,1.4
2018,EE,1.3
2018,IE,2.1
2018,EL,13.6
2018,ES,6.4
2018,FR,3.9
2018,HR,3.4
2018,IT,6.3
2018,CY,2.7
2018,LV,3.2
2018,LT,2.0
2018,LU,1.4
2018,HU,1.4
2018,MT,1.8
2018,NL,1.4
2018,AT,1.4
2018,PL,1.1
2018,PT,3.2
2018,RO,1.9
2018,SI,2.2
2018,SK,4.1
2018,FI,1.6
2018,SE,1.1
2018,NO,1.0
2018,CH,1.8
2018,GB,1.1
2018,ME,11.6
2018,MK,15.6
2018,RS,6.7
2018,TR,2.5
2019,BE,2.4
2019,BG,2.4
2019,CZ,0.6
2019,DK,0.8
2019,DE,1.2
2019,EE,0.9
2019,IE,1.6
2019,EL,12.2
2019,ES,5.4
2019,FR,3.4
2019,HR,2.4
2019,IT,5.7
2019,CY,2.1
2019,LV,2.5
2019,LT,2.0
2019,LU,1.3
2019,HU,1.1
2019,MT,0.9
2019,NL,1.0
2019,AT,1.1
2019,PL,0.7
2019,PT,2.8
2019,RO,1.7
2019,SI,1.9
2019,SK,3.4
2019,FI,1.2
2019,SE,1.0
2019,NO,0.9
2019,CH,1.5
2019,GB,0.9
2019,ME,12.1
2019,MK,12.5
2019,RS,5.5
2019,TR,3.3
2020,BE,2.3
2020,BG,2.3
2020,CZ,0.6
2020,DK,0.9
2020,DE,1.1
2020,EE,1.2
2020,IE,1.3
2020,EL,10.9
2020,ES,5.0
2020,FR,3.0
2020,HR,2.1
2020,IT,4.8
2020,CY,2.2
2020,LV,2.3
2020,LT,2.6
2020,LU,1.7
2020,HU,1.1
2020,MT,1.1
2020,NL,0.9
2020,AT,1.3
2020,PL,0.6
2020,PT,2.3
2020,RO,1.5
2020,SI,2.0
2020,SK,3.2
2020,FI,1.2
2020,SE,1.2
2020,IS,0.5
2020,NO,0.9
2020,CH,1.6
2020,ME,13.6
2020,MK,12.5
2020,RS,4.5
2020,TR,3.3
